frame,sign,kx,ky,sbxframe
7020,-1,10,-6,1939
7035,-1,0,-11,1942
7050,1,-3,12,1946
7065,1,7,-9,1950
7080,1,-1,0,1954
7095,1,11,-3,1958
7110,-1,9,-6,1962
7125,-1,1,2,1966
7140,1,-8,3,1969
7155,-1,-5,-12,1973
7170,1,6,-6,1977
7185,-1,-10,4,1981
7200,1,6,-8,1985
7215,1,-11,7,1989
7230,-1,2,6,1993
7245,1,5,-3,1997
7260,-1,-12,8,2000
7275,-1,-7,3,2004
7290,-1,-6,12,2008
7305,-1,-7,1,2012
7320,-1,3,-12,2016
7335,1,-7,7,2020
7350,-1,3,9,2024
7365,-1,11,4,2027
7380,1,3,8,2031
7395,1,-12,-6,2035
7410,-1,7,-8,2039
7425,1,11,-9,2043
7440,-1,-3,-6,2047
7455,-1,-5,2,2051
7470,1,-7,6,2055
7485,1,-5,-10,2058
7500,-1,9,-4,2062
7515,1,1,4,2066
7530,1,-5,-1,2070
7545,-1,5,10,2074
7560,-1,9,9,2078
7575,1,7,1,2082
7590,-1,9,11,2085
7605,-1,-6,7,2089
7620,1,0,-1,2093
7635,-1,8,1,2097
7650,-1,9,-3,2101
7665,-1,-9,-11,2105
7680,1,7,0,2109
7695,-1,-6,-3,2113
7710,1,-4,-5,2116
7725,-1,-5,-1,2120
7740,-1,-9,-12,2124
7755,-1,-12,8,2128
7770,-1,-1,-9,2132
7785,-1,-12,1,2136
7800,-1,-5,2,2140
7815,-1,4,-8,2144
7830,1,-10,11,2147
7845,1,-7,5,2151
7860,1,11,8,2155
7875,-1,-4,8,2159
7890,-1,9,11,2163
7905,1,8,8,2167
7920,-1,0,3,2171
7935,-1,1,-10,2174
7950,-1,0,8,2178
7965,1,12,6,2182
7980,-1,-10,10,2186
7995,1,0,4,2190
8010,-1,11,-4,2194
8025,-1,-2,-7,2198
8040,1,9,-5,2202
8055,1,-3,8,2205
8070,1,4,-12,2209
8085,1,6,5,2213
8100,1,-2,1,2217
8115,1,-2,4,2221
8130,1,5,10,2225
8145,-1,11,-9,2229
8160,-1,10,5,2232
8175,-1,2,-9,2236
8190,-1,5,4,2240
8205,1,10,6,2244
8220,-1,4,-1,2248
8235,1,-5,-1,2252
8250,1,1,-2,2256
8265,1,7,3,2260
8280,-1,-10,8,2263
8295,-1,5,1,2267
8310,-1,-10,11,2271
8325,1,9,-7,2275
8340,-1,-1,-4,2279
8355,1,6,-9,2283
8370,1,-11,-2,2287
8385,-1,11,1,2290
8400,1,-8,-12,2294
8415,1,-9,-3,2298
8430,1,-2,7,2302
8445,-1,-5,-8,2306
8460,-1,9,-4,2310
8475,1,-12,12,2314
8490,1,1,-10,2318
8505,-1,-12,-7,2321
8520,1,-4,-7,2325
8535,-1,3,2,2329
8550,1,0,11,2333
8565,1,8,-8,2337
8580,1,-4,-3,2341
8595,-1,-2,7,2345
8610,1,-12,-3,2348
8625,-1,-5,9,2352
8640,1,0,-10,2356
8655,1,10,4,2360
8670,-1,12,9,2364
8685,-1,5,9,2368
8700,-1,-10,-2,2372
8715,1,7,7,2376
8730,-1,-7,-1,2379
8745,1,0,12,2383
8760,-1,-4,-5,2387
8775,-1,6,4,2391
8790,1,-8,0,2395
8805,1,-5,9,2399
8820,-1,-4,9,2403
8835,1,5,-6,2407
8850,1,-9,1,2410
8865,1,-2,1,2414
8880,1,-12,-8,2418
8895,-1,-12,10,2422
8910,1,10,-3,2426
8925,-1,-7,9,2430
8940,1,0,12,2434
8955,-1,11,-7,2437
8970,-1,11,-3,2441
8985,1,6,-3,2445
9000,-1,-5,10,2449
9015,1,-7,-5,2453
9030,-1,-10,-12,2457
9045,1,5,-8,2461
9060,1,1,-3,2465
9075,1,-4,5,2468
9090,1,-1,8,2472
