frame,sign,kx,ky,sbxframe
13035,-1,4,-5,3489
13050,1,4,6,3493
13065,-1,4,4,3496
13080,1,5,-12,3500
13095,-1,-1,-3,3504
13110,-1,-3,7,3508
13125,-1,0,-7,3512
13140,-1,-4,-11,3516
13155,1,-5,10,3520
13170,-1,9,2,3523
13185,1,3,6,3527
13200,-1,11,-2,3531
13215,-1,6,-5,3535
13230,1,-2,7,3539
13245,1,7,1,3543
13260,1,11,12,3547
13275,1,-3,1,3551
13290,1,-5,2,3554
13305,-1,8,8,3558
13320,-1,-6,1,3562
13335,1,-1,8,3566
13350,1,11,-5,3570
13365,-1,1,-2,3574
13380,-1,11,-2,3578
13395,1,0,8,3581
13410,-1,9,0,3585
13425,-1,-10,2,3589
13440,1,-5,9,3593
13455,1,10,-1,3597
13470,1,3,-8,3601
13485,1,2,8,3605
13500,-1,1,1,3609
13515,1,2,-10,3612
13530,-1,-7,-12,3616
13545,-1,4,10,3620
13560,1,5,1,3624
13575,-1,-1,-3,3628
13590,1,5,-12,3632
13605,1,-3,5,3636
13620,-1,7,8,3639
13635,1,-2,9,3643
13650,-1,-2,-2,3647
13665,1,7,-5,3651
13680,1,10,-8,3655
13695,-1,-8,4,3659
13710,1,9,10,3663
13725,-1,-5,-6,3667
13740,-1,11,11,3670
13755,1,4,0,3674
13770,1,-8,-6,3678
13785,-1,1,9,3682
13800,1,-7,3,3686
13815,1,11,-2,3690
13830,1,-12,8,3694
13845,-1,3,2,3698
13860,-1,11,-8,3701
13875,-1,9,11,3705
13890,-1,-2,10,3709
13905,1,1,9,3713
13920,1,-10,8,3717
13935,-1,1,-4,3721
13950,-1,-4,-7,3725
13965,-1,5,-3,3728
13980,1,8,-5,3732
13995,1,-8,10,3736
14010,1,11,1,3740
14025,1,-1,3,3744
14040,-1,-5,-12,3748
14055,1,12,-11,3752
14070,-1,0,0,3756
14085,-1,-3,8,3759
14100,-1,1,-12,3763
14115,-1,9,-9,3767
14130,1,-9,-5,3771
14145,-1,-10,10,3775
14160,1,-2,-10,3779
14175,1,9,10,3783
14190,-1,4,5,3786
14205,-1,11,0,3790
14220,1,3,0,3794
14235,-1,11,-8,3798
14250,1,-2,2,3802
14265,1,-6,1,3806
14280,1,3,1,3810
14295,-1,5,12,3814
14310,-1,10,-8,3817
14325,1,-8,-5,3821
14340,1,-8,9,3825
14355,1,12,10,3829
14370,-1,7,-5,3833
14385,1,-6,-10,3837
14400,1,-5,5,3841
14415,1,-11,-7,3844
14430,-1,-12,-10,3848
14445,-1,-12,4,3852
14460,1,12,5,3856
14475,1,3,-2,3860
14490,-1,7,-6,3864
14505,1,0,-10,3868
14520,1,7,-5,3872
14535,1,5,-1,3875
14550,-1,3,-4,3879
14565,-1,5,-5,3883
14580,-1,8,4,3887
14595,1,-5,7,3891
14610,-1,9,7,3895
14625,1,8,-1,3899
14640,-1,-12,-7,3902
14655,-1,6,-1,3906
14670,1,-3,7,3910
14685,-1,-11,2,3914
14700,1,5,-3,3918
14715,1,3,-2,3922
14730,1,4,-6,3926
14745,1,4,-4,3930
14760,1,-7,4,3933
14775,1,-4,3,3937
14790,1,7,0,3941
14805,1,11,-2,3945
14820,1,1,2,3949
14835,-1,-8,9,3953
14850,-1,8,7,3957
14865,-1,9,-5,3961
14880,1,9,3,3964
14895,1,-11,1,3968
14910,-1,11,4,3972
14925,1,4,10,3976
14940,1,5,-5,3980
14955,1,12,-5,3984
14970,1,-5,-9,3988
14985,1,-2,12,3991
15000,-1,-9,12,3995
15015,1,6,6,3999
15030,1,-5,-12,4003
15045,-1,10,-7,4007
15060,-1,3,11,4011
15075,-1,-10,-7,4015
15090,-1,-1,9,4019
15105,1,4,2,4022
15120,1,6,1,4026
15135,1,10,-5,4030
15150,1,-12,-5,4034
15165,-1,9,-4,4038
15180,-1,-3,-7,4042
15195,1,11,-5,4046
15210,-1,-11,9,4049
15225,1,-12,8,4053
15240,-1,-11,7,4057
15255,-1,-1,4,4061
15270,-1,12,-5,4065
15285,1,3,-4,4069
15300,-1,-7,5,4073
15315,1,7,4,4077
15330,-1,-3,3,4080
15345,1,4,-7,4084
15360,1,-2,-12,4088
15375,1,11,-4,4092
15390,-1,-5,-11,4096
15405,1,2,1,4100
15420,-1,-8,10,4104
15435,1,0,5,4107
15450,1,-8,5,4111
15465,-1,6,-1,4115
15480,-1,-7,-1,4119
15495,-1,0,-11,4123
15510,-1,5,-8,4127
15525,-1,0,-12,4131
15540,1,2,-1,4135
15555,-1,-6,10,4138
15570,-1,5,8,4142
15585,1,-2,-4,4146
15600,-1,9,-8,4150
15615,1,-4,7,4154
15630,-1,-5,-2,4158
15645,1,10,1,4162
15660,1,-10,-1,4165
15675,1,11,-2,4169
15690,1,-10,1,4173
15705,-1,4,-11,4177
15720,1,8,12,4181
15735,1,10,9,4185
15750,-1,-3,-3,4189
15765,-1,-10,8,4193
15780,1,-8,5,4196
15795,1,1,3,4200
15810,-1,-7,4,4204
15825,1,-8,-3,4208
15840,-1,4,11,4212
